user_id,login_id,device_id  ,merchant_id,name,age,gender,account_created_date,location,avg_monthly_spend
USR00001,LOG00001,DEV00001,M00166,Rakesh Kumar,46,Male,05-05-2023,Jodhpur,8984.74
USR00002,LOG00002,DEV00002,M00149,Nitin Ghosh,55,Male,01-07-2020,Surat,2065.55
USR00003,LOG00003,DEV00003,M00419,Kartik Iyer,68,Male,27-10-2023,Kalyan-Dombivli,5529.5
USR00004,LOG00004,DEV00004,M00153,Sakshi Bhatt,88,Female,18-07-2024,Meerut,6086.89
USR00005,LOG00005,DEV00005,M00453,Aditya Gandhi,67,Male,14-04-2024,Meerut,9522.94
USR00006,LOG00006,DEV00006,M00343,Deepak Saxena,37,Male,27-08-2021,Dhanbad,1625.59
USR00007,LOG00007,DEV00007,M00025,Pooja Dubey,90,Female,06-07-2021,Tiruchirappalli,1867.15
USR00008,LOG00008,DEV00008,M00070,Jaya Gandhi,48,Female,12-03-2022,Vadodara,1016.43
USR00009,LOG00009,DEV00009,M00195,Kunal Solanki,86,Female,15-11-2020,Pimpri-Chinchwad,4866.34
USR00010,LOG00010,DEV00010,M00015,Kiran Dongare,61,Female,04-03-2025,Jaipur,2870.68
USR00011,LOG00011,DEV00011,M00073,Varun Vora,26,Male,15-03-2025,Lucknow,5255.76
USR00012,LOG00012,DEV00012,M00498,Kartik Purohit,20,Male,21-10-2024,Aurangabad,8699
USR00013,LOG00013,DEV00013,M00208,Rakesh Nair,23,Male,18-01-2021,Indore,1617.25
USR00014,LOG00014,DEV00014,M00378,Simran Iyer,40,Female,12-12-2022,Madurai,1840.15
USR00015,LOG00015,DEV00015,M00074,Harsh Solanki,32,Male,11-05-2021,Bhubaneswar,4728.49
USR00016,LOG00016,DEV00016,M00089,Pooja Rastogi,25,Female,01-08-2024,Varanasi,9773.5
USR00017,LOG00017,DEV00017,M00221,Pooja Thakur,63,Female,13-06-2024,Agra,5058.87
USR00018,LOG00018,DEV00018,M00391,Sakshi Banerjee,60,Female,19-12-2023,Jalandhar,3462.52
USR00019,LOG00019,DEV00019,M00389,Meera Trivedi,54,Female,21-03-2025,Raipur,5272.88
USR00020,LOG00020,DEV00020,M00043,Riya Kumar,76,Female,22-02-2023,Ghaziabad,3969.36
USR00021,LOG00021,DEV00021,M00057,Varun Mukherjee,77,Male,07-09-2021,Guwahati,8260.31
USR00022,LOG00022,DEV00022,M00351,Isha Chopra,68,Female,12-08-2020,Gurgaon,5829.17
USR00023,LOG00023,DEV00023,M00395,Neelam Bhatt,89,Female,05-04-2025,Tiruchirappalli,9787.77
USR00024,LOG00024,DEV00024,M00386,Manish Khawshi,66,Male,31-05-2022,Chennai,1157.92
USR00025,LOG00025,DEV00025,M00191,Arjun Iyer,42,Male,26-03-2024,Madurai,4454.06
USR00026,LOG00026,DEV00026,M00154,Shreya Choudhary,80,Female,16-07-2021,Madurai,8646.72
